Time,Potsdam Score,Enemy Score,Drago,Ansen,Ian,Theo,Kyle,Tanner,Daniel,Tyler,Kaden,Rhece,Game
8:00,,,In,In,In,In,,, In,,,,2
,,,,,3p attempt,foul,,,,,,,2
7:41,,2,,,,,,,,,,,2
7:35,2,,2p made,,assist,,,,,,,,2
7:25,,3,,,,,,,,,,,2
6:53,2,,,2p made,,,,,,,,,2
,,,2p attempt,rebound,steal,block,,,,,,,2
,,,rebound,2p attempt,,,,,,,,,2
5:53,2,,2p made,,,,,,,,,,2
,,,3p attempt,rebound,,,,,rebound,,,,2
,,,rebound,,2p attempt,,,,2p attempt,,,,2
,,,,,,,,,rebound,,,,2
4:49,2,,,,,,,,2p made,,,,2
,,,,block,turnover,,,,,,,,2
,,,,,rebound,,,,,,,,2
4:00,2,,,2p made,,,,,,,,,2
3:44,,2,,,,,,,,,,,2
3:43,,,Out,Out,,Out,,In,Out,In,In,In,2
,,,,,,,,,,3p attempt,,,2
3:07,,2,,,,,,,,,,,2
,,,,,3p attempt,,,2p attempt,,,rebound,,2
,,,,,,,,,,,rebound,,2
2:20,2,,,,,,,,,,2p made,,2
,,,,,rebound,,,,,2p attempt,,,2
1:34,,2,,,,,,,,,,,2
,,,,,turnover,,,,,,,,2
,,,,,steal,,,,,,,,2
1:12,,,,,2p made,,,,,,,,2
,,,,,,,,,,rebound,,2p attempt,2
0:48,,,In,,Out,,,,,,,,2
,,,,,,,,rebound,,,3p attempt,,2
0:45,3,,3p made,,,,,assist,,,,,2
,,,,,,,,rebound,,,,turnover,2
Q4,,,,,,,,,,,,,2
8:00,,,In,,,,,In,,In,In,In,2
,,,steal,,,,,,,turnover,steal,2p attem[t,2
6:51,2,,2p made,,,,,,,,,,2
,,,,,,,,turnover,,,,,2
,,,rebound,,,,,,,3p attempt,,steal,2
,,,rebound,,,,,,,,,2p attempt,2
5:00,2,,2p made,,,,,,,,,,2
,,,foul,,,,,,,,rebound,,2
4:23,,2,,,,,,,,,2p attempt,,2
4:22,,,Out,,,,,,In,,,,2
4:05,2,,,,,,,,2p made,,,,2
4:01,,2,,,,,,,,,,,2
,,,,,,,,,,2p attempt,,3p attempt,2
,,,,,,,,,steal,,2p attempt,,2
2:35,,2,,,,,,,,,,,2
,,,,,,,,3p attempt,,,,,2
2:20,,3,,,,,,,,,,,2
2:19,,,,,,In,,,Out,,,,2
,,,,,,block,,2p attempt,,,turnover,,2
,,,,,,2p attempt,,,,,,,2
,,,,,,rebound,,,,,,,2
1:18,3,,,,,,,,,,assist,3p made,2
,,,,,,steal,,,,,,,2
0:59,,,,,,assist,,,,,2p made,,2
,,,,,,rebound,,,,,,,2
0:37,,,,,,2p made,,,,,,,2
0:11,,2,,,,,,,,,,,2
,,,,,,,,,,,,,
Colton,,,,,,,,,,,,,3
Q1,,,,,,,,,,,,,3
8:00,,,In,In,In,In,,,In,,,,3
7:51,2,,,,2p made,,,,,,,,3
7:41,,2,,,,,,,,,,,3
,,,,,steal,2p attempt,,,,,,,3
7:18,2,,,,2p made,,,,,,,,3
,,,rebound,,,,,,,,,,3
6:27,2,,,,2p made,,,,,,,,3
,,,,,,,,,2p attempt ,,,,3
,,,,rebound,,,,,,,,,3
,,,,2p attempt,,,,,,,,,3
,,,,,3p attempted ,,,,,,,,3
,,,,rebound,,,,,,,,,3
,,,,2p attempt ,,,,,,,,,3
4:19,,2,,,,,,,,,,,3
,,,,2p attempt,,,,,rebound,,,,3
,,,,,,rebound,,,,,,,3
,,,,,3p attempt ,,,,,,,,3
,,,,rebound,,,,,,,,,3
,,,,,3p attempt ,,,,,,,,3
2:19,,2,,,,,,,,,,,3
,,,,,,,,,2p attempt,,,,3
,,,,rebound,,,,,,,,,3
,,,,2p attempt,,,,,,,,,3
,,,,,,rebound,,,,,,,3
1:59,,,,,, 2 ft,,,,,,,3
,,,,block,,,,,,,,,3
,,,steal,,,,,,,,,,3
,,,,,2p attempt,,,,,,,,3
,,,,,,,,,,,,,3
,,,,,3p attempt,,,,,,,,3
1:02,,,,,,Out,,,,In,,,3
,,,,turnover,,,,,,,,,3
,,,,steal,,,,,,,,,3
0:31,2,,,,2p made,,,,,,,,3
0:22,,1,,,,,,,,,,,3
,,,,,,,,,rebound,,,,3
,,,,,,,,,2p attempt ,,,,3
Q2,,,,,,,,,,,,,3
8:00,,,In,In,In,In,,,,In,,,3
,,,,,2p attempt ,,,,,,,,3
,,,,,,rebound,,,,,,,3
,,,,,2p attempt,,,,,,,,3
,,,,turnover,,,,,,,,,3
,,,,,,steal,,,,,,,3
,,,,,3p attempt ,,,,,,,,3
,,,,block,,,,,,,,,3
,,,,turnover,,,,,,,,,3
,,,,rebound,,,,,,,,,3
6:10,3,,assist,,3p made,,,,,,,,3
,,,,,,rebound,,,,,,,3
5:40,3,,,,3p made,,,,,,,,3
,,,,,,,,,In,Out,,,3
5:00,2,,,2p made,assist,,,,,,,,3
4:57,,,,,Out,,,,,In,,,3
4:41,2,,,,,2p made,,,,,,,3
4:30,,2,,,,,,,,,,,3
4:29,,,,,In,,,,,Out,,,3
,,,,,turnover,,,,,,,,3
,,,,,steal,,,,,,,,3
4:05,2,,,,2p made,,,,,,,,3
3:49,,2,,,,,,,,,,,3
,,,,turnover,,,,,,,,,3
,,,,,,,,,rebound,,,,3
,,,turnover,,,,,,,,,,3
,,,,,,,,,turnover,,,,3
,,,,,block,,,,,,,,3
,,,turnover,,,,,,,,,,3
,,,,,,rebound,,,,,,,3
,,,,turnover,,,,,,,,,3
1:41,,2,,,,,,,,,,,3
,,,,,,,,,rebound,,,,3
1:33,,,,,Out,,,,,In,,,3
1:33,1,,,,,,,,,2 ft,,,3
,,,,,,,,,steal,,,,3
,,,,,,2p attempt ,,,,,,,3
0:54,,2,,,,,,,,,,,3
0:38,,,,2 ft,,,,,,,,,3
0:38,,,,,In,,,,Out,,,,3
0:24,,2,,,,,,,,,,,3
,,,2p attempt ,,,,,,,,,,3
,,,,,,,,,,,,,3
Q3,,,,,,,,,,,,,3
8:00,,,In,In,In,In,,,In,,,,3
,,,rebound,,,,,,,,,,3
,,,,,,2p attempt,,,,,,,3
,,,,,,block,,,,,,,3
7:14,2,,assist,,2p made,,,,,,,,3
,,,,,block,,,,,,,,3
,,,,,,,,,rebound,,,,3
,,,,,turnover,,,,,,,,3
,,,,steal,,,,,,,,,3
,,,,turmover,,,,,,,,,3
,,,,,,,,,steal,,,,3
6:23,2,,2p made,assist,,,,,,,,,3
,,,,,,block,,,,,,,3
6:10,2,,,,2 ft,,,,,,,,3
,,,,,steal,,,,,,,,3
5:52,1,,,,2 ft,,,,,,,,3
,,,,rebound,,,,,,,,,3
5:29,2,,,,assist,,,,2p made,,,,3
5:18,,2,,,,,,,,,,,3
,,,,,,,,,turnover,,,,3
,,,,,,,,,turnover,,,,3
4:16,,,,,,,,,Out,In,,,3
4:05,,2,,,,,,,,,,,3
,,,,,rebound,,,,,,,,3
,,,,,2p attempt ,,,,,,,,3
3:45,,2,,,,,,,,,,,3
3:41,,,,,,,,,In,Out,,,3
3:27,2,,,,,,,,2p made,,,,3
3:11,,1,,,,,,,,,,,3
,,,,,2p attempt ,,,,,,,,3
,,,,,rebound,,,,,,,,3
2:42,3,,3p made ,,,,,,assist,,,,3
,,,,,,,,,,,,,3
2:02,,2,,,,,,,,,,,3
,,,,,,,,,3p attempt,,,,3
1:33,,2,,,,,,,,,,,3
,,,,,2p attempt ,,,,,,,,3
1:00,,,,Out,,,,,,In,,,3
0:51,2,,2p made,,assist,,,,,,,,3
0:22,,,,,,,,,2p made,,,,3
,,,,,steal,,,,,,,,3
0:05,,,,,2p made,,,,,,,,3
,,,,,,,,,,,,,3
Q4,,,,,,,,,,,,,3
8:00,,,In,,In,In,,,In,In,,,3
7:42,2,,2p made ,,,,,,assist,,,,3
,,,,,,,,,,steal,,,3
,,,2p attempt ,,,,,,,,,,3
,,,,,steal,,,,,,,,3
,,,,,2p attempt ,,,,,,,,3
,,,,,,,,,rebound,,,,3
,,,,,,,,,2p attempt ,,,,3
6:41,,2,,,,,,,,,,,3
,,,,,,rebound,,,,,,,3
,,,,,2p attempt ,,,,,,,,3
,,,,,rebound,,,,,,,,3
,,,,,turnover,,,,,,,,3
,,,,,,,,,,,,,3
5:52,,,,In,,,,,,Out,,,3
,,,,rebound,,,,,,,,,3
,,,,2p attempt ,,,,,,,,,3
,,,,,,,,,turnover,,,,3
,,,,,,,,,turnover,,,,3
4:54,,1,,,,,,,,,,,3
,,,,,3p attempt ,,,,,,,,3
,,,,,,,,,rebound,,,,3
4:18,2,,,,2p made,,,,assist,,,,3
,,,,,,,,,,,,,3
4:02,,1,,,,,,,,,,,3
4:02,,,,,,Out,,,,In,,,3
3:53,,2,2 ft,,,,,,,,,,3
3:44,,1,,,,,,,,,,,3
,,,,2p attempt ,,,,,,,,,3
,,,,rebound,,,,,,,,,3
,,,,2p attempt ,,,,,,,,,3
,,,,,,,,,,steal,,,3
3:03,2,,assist,2p made,,,,,,,,,3
2:35,,2,,,,,,,,,,,3
,,,turnover,,,,,,,,,,3
,,,,,,,,,,steal,,,3
1:48,2,,2p made,,assist,,,,,,,,3
1:40,,2,,,,,,,,,,,3
1:32,,,,Out,Out,,,In,Out,,In,In,3
,,,turnover,,,,,,,,,,3
,,,rebound,,,,,,,,,,3
,,,,,,,,,,,,2p attempt ,3
0:56,,1,,,,,,,,,,,3
0:56,,,Out,,,,,,In,,,,3
,,,,,,,,,2p attempt ,,,,3
0:11,,2,,,,,,,,,,,3
,,,,,,,,,,,,,
Ogdensburg,,,,,,,,,,,,,4
Q1,,,,,,,,,,,,,4
8:00,,,In,In,In,In,,,In,,,,4
,,,2p attempt,,,,,,,,,,4
,,,,,steal,,,,,,,,4
,,,,,2p attempt ,,,,,,,,4
7:28,,2,,,,,,,,,,,4
,,,,2p attempt ,,,,,,,,,4
,,,,,steal,,,,,,,,4
6:34,2,,,,2p made ,,,,,,,,4
,,,,2p attempt ,,,,,,,,,4
,,,,,,2p attempt ,,,,,,,4
,,,,,,,,,turnover,,,,4
5:28,,3,,,,,,,,,,,4
,,,,2p attempt ,,,,,,,,,4
,,,,,rebound ,,,,,,,,4
,,,turnover,,,,,,,,,,4
,,,steal,,,,,,,,,,4
,,,turnover,,,,,,,,,,4
,,,,steal,,2p attempt ,,,,,,,4
,,,,,,rebound ,,,,,,,4
,,,,,3p attempt,,,,rebound ,,,,4
,,,,,,,,,2p attempt ,,,,4
3:25,,2,,,,,,,,,,,4
,,,,,,turnover,,,,,,,4
3:09,,2,,,,,,,,,,,4
,,,,,,,,,,,,,4
2:47,2,,,,2p made,,,,,,,,4
2:30,,2,,,,,,,,,,,4
,,,,,3p attempt ,,,,,,,,4
,,,,,steal,,,,,,,,4
,,,,,2p attempt ,,,,,,,,4
1:37,3,,assist,,,,,,3p made,,,,4
,,,,rebound ,,,,,,,,,4
,,,,,,turnover,,,,,,,4
1:05,,2,,,,,,,,,,,4
,,,,,,2p attempt,,,,,,,4
,,,rebound,,,,,,,,,,4
0:26,2,,,,2p made,,,,,,,,4
,,,,,,rebound,,,,,,,4
,,,,,3p attempt ,,,,,,,,4
,,,,,,,,,,,,,4
Q2,,,,,,,,,,,,,4
8:00,,,In,In,In,In,,,In,,,,4
7:51,,2,,,,,,,,,,,4
,,,,,,,,,2p attempt ,,,,4
